adp_rank,adp_slot,adp_master,player,pos,team,is_rookie,off_rank,off_flag,bye_week,adp_ffc,adp_ffc_stdev,adp_mfl,adp_espn,adp_fantasy_football_adp,adp_ppr_overall_7d_08222026,sources_n,adp_spread,mfl_id
1,1.01,1.0,Jahmyr Gibbs,RB,DET,False,3,TOP5,6,1.6,0.7,2.4,1.48,1.4,1.0,5,1.4,16162
2,1.02,2.0,Bijan Robinson,RB,ATL,False,21,,11,1.9,0.8,2.65,2.54,2.0,2.0,5,0.8,16161
3,1.03,3.0,Ja'Marr Chase,WR,CIN,False,8,,6,3.9,1.0,3.88,4.02,3.4,3.0,5,1.0,15281
4,1.04,4.0,Puka Nacua,WR,LAR,False,1,TOP5,11,3.1,0.9,6.89,4.84,4.5,4.0,5,3.8,16211
5,1.06,5.8,Jaxon Smith-Njigba,WR,SEA,False,6,,11,5.4,1.0,8.29,5.8,6.1,5.8,5,2.9,16185
6,1.06,6.0,Christian McCaffrey,RB,SF,False,17,,8,6.5,1.6,14.26,6.92,6.4,6.0,5,8.3,13130
7,1.07,7.0,Jonathan Taylor,RB,IND,False,23,,13,7.4,1.7,10.92,7.89,7.7,7.0,5,3.9,14802
8,1.08,7.7,Amon-Ra St. Brown,WR,DET,False,3,TOP5,6,6.3,1.3,9.71,8.32,8.0,7.7,5,3.4,15287
9,1.10,10.2,James Cook III,RB,BUF,False,2,TOP5,7,12.6,2.8,14.55,12.72,11.0,10.2,5,4.4,15715
10,1.11,10.8,CeeDee Lamb,WR,DAL,False,4,TOP5,14,10.5,2.0,15.21,10.66,11.8,10.8,5,4.7,14832
11,1.12,12.2,Ashton Jeanty,RB,LV,False,32,BOT5,13,15.2,3.0,13.73,16.51,12.5,12.2,5,4.3,17042
12,2.01,12.7,Justin Jefferson,WR,MIN,False,25,,6,11.7,2.3,16.29,12.14,13.0,12.7,5,4.6,14836
13,2.02,14.0,De'Von Achane,RB,MIA,False,30,BOT5,6,10.3,1.9,19.25,12.04,14.3,14.0,5,9.0,16167
14,2.02,14.3,Saquon Barkley,RB,PHI,False,12,,10,19.8,3.4,22.56,16.05,15.5,14.3,5,8.3,13604
15,2.03,15.3,Chase Brown,RB,CIN,False,8,,6,13.5,2.7,23.2,23.41,16.0,15.3,5,9.9,16181
16,2.05,17.2,Kenneth Walker,RB,KC,False,7,,5,22.3,4.0,25.0,22.93,18.6,17.2,5,7.8,15711
17,2.06,17.5,Omarion Hampton,RB,LAC,False,14,,7,23.2,4.3,22.17,27.61,17.8,17.5,5,10.1,17044
18,2.06,18.0,Drake London,WR,ATL,False,21,,11,9.9,1.5,24.18,18.74,19.2,18.0,5,14.3,15751
19,2.07,18.7,Derrick Henry,RB,BAL,False,15,,13,17.7,2.6,27.82,19.44,19.9,18.7,5,10.1,12626
20,2.08,19.7,Brock Bowers,TE,LV,False,32,BOT5,13,35.5,7.0,16.43,23.98,20.8,19.7,5,19.1,16641
21,2.10,21.8,A.J. Brown,WR,NE,False,5,TOP5,11,18.1,3.3,28.04,27.14,22.6,21.8,5,9.9,14104
22,2.11,22.8,Trey McBride,TE,ARI,False,29,BOT5,14,28.7,4.7,19.43,20.1,23.2,22.8,5,9.3,15794
23,2.12,23.7,Nico Collins,WR,HOU,False,11,,8,21.2,3.0,32.08,27.43,25.1,23.7,5,10.9,15290
24,3.01,24.7,George Pickens,WR,DAL,False,4,TOP5,14,19.7,2.7,32.22,30.14,25.2,24.7,5,12.5,15762
25,3.01,25.2,Rashee Rice,WR,KC,False,7,,5,14.8,2.2,36.94,22.26,27.7,25.2,5,22.1,16194
26,3.03,27.0,Jeremiyah Love,RB,ARI,True,29,BOT5,14,29.0,4.2,11.84,20.27,27.0,27.0,5,17.2,17472
27,3.03,27.3,Malik Nabers,WR,NYG,False,27,,8,27.2,3.5,29.16,35.22,29.8,27.3,5,8.0,16615
28,3.03,27.3,Chris Olave,WR,NO,False,20,,8,20.7,3.6,35.56,33.33,29.9,27.3,5,14.9,15754
29,3.06,30.0,Josh Allen,QB,BUF,False,2,TOP5,7,33.6,8.3,8.0,22.05,27.7,30.0,5,25.6,13589
30,3.06,30.3,Breece Hall,RB,NYJ,False,28,BOT5,13,34.4,5.4,38.65,32.03,32.0,30.3,5,8.3,15708
31,3.06,30.5,Kyren Williams,RB,LAR,False,1,TOP5,11,31.4,4.5,35.04,43.03,31.9,30.5,5,12.5,15710
32,3.08,31.8,DeVonta Smith,WR,PHI,False,12,,10,29.3,3.7,37.92,40.13,34.3,31.8,5,10.8,15282
33,3.10,34.3,Javonte Williams,RB,DAL,False,4,TOP5,14,36.8,4.8,41.75,37.15,35.6,34.3,5,7.5,15256
34,3.10,34.3,Zay Flowers,WR,BAL,False,15,,13,24.9,2.9,41.53,41.56,37.2,34.3,5,16.7,16190
35,3.11,35.0,Josh Jacobs,RB,GB,False,18,,11,31.2,4.2,42.99,35.49,36.0,35.0,5,11.8,14073
36,4.02,37.7,Tee Higgins,WR,CIN,False,8,,6,35.8,5.0,47.2,57.26,39.7,37.7,5,21.5,14835
37,4.02,38.5,Emeka Egbuka,WR,TB,False,22,,10,36.2,4.8,41.81,46.16,39.6,38.5,5,10.0,17081
38,4.03,38.8,Tetairoa McMillan,WR,CAR,False,24,,5,33.2,3.6,40.29,42.31,39.9,38.8,5,9.1,17071
39,4.03,39.3,Ladd McConkey,WR,LAC,False,14,,7,37.5,4.3,41.0,52.08,43.9,39.3,5,14.6,16627
40,4.04,39.7,Garrett Wilson,WR,NYJ,False,28,BOT5,13,26.3,2.9,41.49,36.29,41.6,39.7,5,15.3,15753
41,4.04,40.0,Colston Loveland,TE,CHI,False,10,,10,56.3,8.8,33.68,45.16,41.6,40.0,5,22.6,17104
42,4.05,41.2,Cam Skattebo,RB,NYG,False,27,,8,36.0,5.0,43.17,43.88,42.0,41.2,5,7.9,17045
43,4.06,41.7,Travis Etienne Jr.,RB,NO,False,20,,8,41.4,4.8,49.83,46.55,42.7,41.7,5,8.4,15253
44,4.07,42.7,Jaylen Waddle,WR,DEN,False,13,,10,45.9,5.4,50.3,59.52,47.2,42.7,5,16.8,15284
