"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Jahmyr Gibbs","RB","DET","1.7","1.5","1.5","1.3","1.3","1.1","1.8","1.6","1.1","1.4"
"Bijan Robinson","RB","ATL","2.4","2.6","1.9","1.9","1.9","1.9","1.6","1.7","2.1","2.0"
"Ja'Marr Chase","WR","CIN","3.1","4.2","3.3","4.0","3.3","3.0","3.4","3.2","3.0","3.4"
"Puka Nacua","WR","LAR","4.0","4.5","4.6","5.1","4.4","4.8","4.7","4.5","4.1","4.5"
"Jaxon Smith-Njigba","WR","SEA","6.2","5.9","6.6","7.0","6.0","6.1","6.1","5.8","5.5","6.1"
"Christian McCaffrey","RB","SF","5.4","6.6","5.5","6.9","5.7","8.1","6.4","6.7","6.3","6.4"
"Jonathan Taylor","RB","IND","7.3","8.1","7.1","5.3","7.3","9.6","8.0","8.5","7.8","7.7"
"Amon-Ra St. Brown","WR","DET","8.0","8.4","8.1","9.4","8.1","7.3","8.4","7.4","7.0","8.0"
"James Cook","RB","BUF","10.1","12.9","9.9","11.2","10.8","9.9","12.5","11.3","10.2","11.0"
"CeeDee Lamb","WR","DAL","9.7","10.7","10.2","15.2","12.2","14.8","11.7","11.7","9.7","11.8"
"Ashton Jeanty","RB","LV","14.6","17.3","13.9","12.8","10.1","10.4","10.8","10.5","12.0","12.5"
"Justin Jefferson","WR","MIN","11.8","12.2","12.4","16.9","11.7","14.8","13.6","12.6","11.1","13.0"
"De'Von Achane","RB","MIA","12.0","12.1","15.8","11.6","14.2","17.3","13.6","15.2","17.2","14.3"
"Saquon Barkley","RB","PHI","13.1","16.3","12.5","14.0","15.6","18.1","18.3","17.7","13.8","15.5"
"Chase Brown","RB","CIN","17.4","24.2","16.6","13.2","13.6","12.0","16.7","15.1","14.9","16.0"
"Omarion Hampton","RB","LAC","15.1","27.5","18.6","19.4","15.5","17.7","15.6","14.5","16.4","17.8"
"Kenneth Walker","RB","KC","19.6","23.6","17.2","20.5","18.0","14.9","20.3","19.0","14.4","18.6"
"Drake London","WR","ATL","15.7","18.9","18.5","17.9","19.9","22.2","19.4","19.0","21.4","19.2"
"Derrick Henry","RB","BAL","21.7","20.0","18.2","14.4","20.4","21.3","22.8","23.2","17.1","19.9"
"Brock Bowers","TE","LV","22.8","24.0","21.0","28.1","19.3","6.4","23.8","21.8","19.9","20.8"
"A.J. Brown","WR","NE","18.4","27.1","25.1","24.2","17.8","20.9","27.9","23.0","18.9","22.6"
"Trey McBride","TE","ARI","20.3","19.9","25.1","27.8","24.2","14.9","22.8","24.2","29.6","23.2"
"Nico Collins","WR","HOU","25.6","27.7","22.1","28.0","22.6","27.4","24.7","24.9","23.0","25.1"
